t,x
0.0,3.346845550811002
0.01001001001001001,3.152136802902796
0.02002002002002002,3.2620760177308328
0.03003003003003003,3.2034078400171304
0.04004004004004004,2.8283062818441502
0.050050050050050046,2.7993229787099767
0.06006006006006006,2.8408838845665456
0.07007007007007007,2.6878364782356385
0.08008008008008008,2.602335488000688
0.09009009009009009,2.396868505280166
0.10010010010010009,2.4422959528770787
0.11011011011011011,2.2987817710555807
0.12012012012012012,2.089164660288863
0.13013013013013014,2.052217499416816
0.14014014014014015,1.8390183330391103
0.15015015015015015,1.5554316334015552
0.16016016016016016,1.5241323904898714
0.17017017017017017,1.2345566729895592
0.18018018018018017,1.259260240176062
0.19019019019019018,1.005668737644207
0.20020020020020018,0.830190453682205
0.21021021021021022,0.6178604655002552
0.22022022022022023,0.6452350311872466
0.23023023023023023,0.3447913554526211
0.24024024024024024,0.15539041693101
0.2502502502502503,0.0021767741593742146
0.2602602602602603,-0.06855981594571223
0.2702702702702703,-0.2423205083338716
0.2802802802802803,-0.3921156463140207
0.2902902902902903,-0.5418493143133146
0.3003003003003003,-0.518909768308833
0.3103103103103103,-0.9180563647642487
0.3203203203203203,-1.0687889048431733
0.3303303303303303,-1.2345299383420572
0.34034034034034033,-1.2222274279990175
0.35035035035035034,-1.2963503941131407
0.36036036036036034,-1.5404983487247805
0.37037037037037035,-1.7271131984129193
0.38038038038038036,-1.8334025876505493
0.39039039039039036,-1.7873614510327729
0.40040040040040037,-1.8729392389279889
0.41041041041041043,-1.9809615448260962
0.42042042042042044,-2.1828221929162086
0.43043043043043044,-2.1668679714647903
0.44044044044044045,-2.2449071397827187
0.45045045045045046,-2.2937609088777204
0.46046046046046046,-2.2800107652787576
0.47047047047047047,-2.388718920219369
0.4804804804804805,-2.379467735855041
0.4904904904904905,-2.469216000699211
0.5005005005005005,-2.4680127985737226
0.5105105105105106,-2.447107729836846
0.5205205205205206,-2.6616727291712006
0.5305305305305306,-2.546123883379389
0.5405405405405406,-2.5519648883961628
0.5505505505505506,-2.5522712137167995
0.5605605605605606,-2.492172996204389
0.5705705705705706,-2.2844143673102635
0.5805805805805806,-2.4828901365779905
0.5905905905905906,-2.2552197491090844
0.6006006006006006,-2.4696284118422644
0.6106106106106106,-2.2779055163695987
0.6206206206206206,-2.1652437449056365
0.6306306306306306,-2.0542854103592973
0.6406406406406406,-1.9677346235248592
0.6506506506506506,-1.8803211299098064
0.6606606606606606,-1.9104761184811065
0.6706706706706707,-1.8332472907048967
0.6806806806806807,-1.608405543405658
0.6906906906906907,-1.6166379990918005
0.7007007007007007,-1.6248329414257066
0.7107107107107107,-1.5071478371707914
0.7207207207207207,-1.379468694114203
0.7307307307307307,-1.1290173371210719
0.7407407407407407,-1.0535658580803828
0.7507507507507507,-0.8860617452354859
0.7607607607607607,-0.8837271118495457
0.7707707707707707,-0.7099920515748629
0.7807807807807807,-0.5474455299612917
0.7907907907907907,-0.5247716888815269
0.8008008008008007,-0.3320221219376844
0.8108108108108109,-0.32813684644654617
0.8208208208208209,-0.18322267335521641
0.8308308308308309,-0.07113255055132989
0.8408408408408409,-0.03998523373256557
0.8508508508508509,0.2391281881757799
0.8608608608608609,0.2522826466458957
0.8708708708708709,0.40691910925333863
0.8808808808808809,0.5575521600867135
0.8908908908908909,0.6550172364381331
